Cổng giao tiếp,Kết nối không dây,Webcam,Đèn bàn phím,Bảo mật,Công nghệ âm thanh,Tản nhiệt,data_id,Tính năng khác,Khe đọc thẻ nhớ
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5']",HD webcam,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Bảo mật vân tay']",SonicMaster audio,"['Tản nhiệt ASUS IceCool Plus', 'Quạt IceBlade 89 cánh']",311117,"['Lớp phủ ASUS Antimicrobial Guard', 'Độ bền chuẩn quân đội MIL STD 810H', 'Bản lề mở 180 độ']",
"['2 x USB 3.2', 'HDMI', '1 x USB-C 3.2 (hỗ trợ USB Power Delivery 65-100W và DisplayPort 2.1)', '1 x Thunderbolt 4 / USB 4 (hỗ trợ truyền dữ liệu và DisplayPort 2.1)', '1 x Headphone/microphone combo', 'LAN (RJ45)', '1 x USB 3.2 (Always on)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",Camera 5.0 MP,Đèn chuyển màu RGB - Per-Key,"['TPM 2.0', 'Công tắc khoá camera']","['Công nghệ Smart AMP', 'Nahimic Audio']",Hãng không công bố,339542,AI Chip LA3,
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', '2 x USB Type-C (Power Delivery and DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,"['Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']",Stereo speakers,Hãng không công bố,339682,,Micro SD
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'LAN (RJ45)']","['Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth 5.1']",HD webcam,Không có đèn,,Realtek Audio,,327982,,SD
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']","['Full HD Webcam', 'Camera IR']",Đèn chuyển màu RGB - 1 vùng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)']","['Công nghệ Smart AMP', 'Audio by Harman/Kardon', 'Dolby Atmos']",Hãng không công bố,328239,"['Độ bền chuẩn quân đội MIL STD 810H', 'Tiêu chuẩn Nền Intel Evo']",Micro SD
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'LAN (RJ45)', 'HDMI 2.1', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đèn chuyển màu RGB - 4 vùng,,Nahimic 3,"['2 quạt', 'Cooler Boost 5']",341610,MUX Switch,
"['Jack tai nghe 3.5 mm', '1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)', '2 x USB 3.2', 'HDMI', '1 x Thunderbolt 4 (hỗ trợ DisplayPort)', 'LAN (RJ45)']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Đèn chuyển màu RGB - 1 vùng,,"['Hi-Res Audio', 'Dolby Atmos']",Hãng không công bố,320434,"['MUX Switch', 'NVIDIA Optimus']",
"['2 x USB 3.2', 'HDMI', '1 x USB-C 3.2 (hỗ trợ USB Power Delivery 65-100W và DisplayPort 2.1)', '1 x Headphone/microphone combo', 'LAN (RJ45)', '1 x USB 3.2 (Always on)', '1 x USB-C (hỗ trợ Thunderbolt 4 / USB4 với DisplayPort 2.1)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",Camera 5.0 MP,Đèn chuyển màu RGB - 24 vùng,"['TPM 2.0', 'Công tắc khoá camera']","['Audio by Harman/Kardon', 'Nahimic Audio']",Hãng không công bố,339650,AI Chip LA3,
"['1 x USB 3.2', '1 x Headphone/microphone combo', '2 x USB Type-C (Power Delivery and DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']",Qualcomm WCD9385,Hãng không công bố,340563,,Micro SD
"['2 x USB 3.2', 'HDMI', '1 x USB Type-C 3.2 (hỗ trợ DisplayPort)', 'LAN (RJ45)', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",HD webcam,Đơn sắc - Màu trắng,,Realtek Audio,Hãng không công bố,341564,,
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth']",HD webcam,Không có đèn,,Realtek Audio,,309243,,SD
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', 'LAN (RJ45)', '1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu trắng,Công tắc khoá camera,2 x 2W Speaker,"['2 quạt', 'Cooler Boost 5']",325583,,
"['1 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', '2 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery và DisplayPort 2.1)', '1 x USB 3.2 (Always on)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,"['TPM 2.0', 'Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']","['Realtek Audio', 'High Definition (HD) Audio']",Hãng không công bố,339660,Bản lề mở 180 độ,
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4)', '1 x USB Type-C (chỉ hỗ trợ Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",Full HD Webcam,Đơn sắc - Màu trắng,,Realtek Audio,Hãng không công bố,329851,Màn hình gập 360 độ,SD
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)']",Công nghệ Smart AMP,Hãng không công bố,334797,Độ bền chuẩn quân đội MIL STD 810H,
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', '1 x USB 3.2 (hỗ trợ PowerShare)', '2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",Full HD Webcam,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Bảo mật vân tay']",Realtek Audio,Hãng không công bố,335181,Bản lề mở 180 độ,
"['2 x USB 3.2', 'HDMI', '1 x USB-C 3.2 (hỗ trợ USB Power Delivery 65-100W và DisplayPort 2.1)', '1 x USB Type-C (hỗ trợ DisplayPort 1.4)', '1 x Headphone/microphone combo', 'LAN (RJ45)', '1 x USB 3.2 (Always on)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",Camera 5.0 MP,Đèn chuyển màu RGB - 24 vùng,Công tắc khoá camera,"['Audio by Harman/Kardon', 'Nahimic Audio']",Hãng không công bố,340488,"['MUX Switch', 'Bản lề mở 180 độ']",
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",Full HD Webcam,Đơn sắc - Màu xanh,Công tắc khoá camera,SonicMaster audio,"['Tản nhiệt ASUS IceCool', 'Quạt IceBlade 79 cánh', '2 quạt']",339689,Độ bền chuẩn quân đội MIL STD 810H,
"['1 x USB 3.2 Gen 1', '2 x USB Type-C 3.2 Gen 1 (hỗ trợ DisplayPort 1.4 và Power delivery 3.0)', '1 x USB 3.2 Gen 1 (Always on)', 'HDMI 1.4']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['1080p with Privacy Shutter', 'ToF Sensor', 'Camera IR']",Có,Nhận diện khuôn mặt (FaceID),"['2W x 2', 'High Definition (HD) Audio', 'Dolby Audio']",Hãng không công bố,342495,,Micro SD
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ USB, Power Delivery, DisplayPort và Thunderbolt 4)', '1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đèn chuyển màu RGB - Per-Key,"['TPM 2.0', 'Bảo mật vân tay']",4 x 2W Speaker,Vapor Chamber Cooler,325575,,SD
"['1 x USB 3.2 Gen 1', '2 x USB Type-C 3.2 Gen 1 (hỗ trợ DisplayPort 1.4 và Power delivery 3.0)', '1 x USB 3.2 Gen 1 (Always on)', 'HDMI 1.4']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['1080p with Privacy Shutter', 'ToF Sensor', 'Camera IR']",Có,Nhận diện khuôn mặt (FaceID),"['Dolby Audio', 'Stereo speakers']",Hãng không công bố,342497,,Micro SD
"['2 x USB 3.2 Gen 1', 'Jack tai nghe 3.5 mm', '1 x USB Type-C 3.2 (hỗ trợ DisplayPort)', 'LAN (RJ45)', 'HDMI 2.1', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",HD webcam,Có,,Realtek Audio,2 quạt,341566,,
"['1 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', 'LAN (RJ45)', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)']","['Hi-Res Audio', 'DTS Audio']",Hãng không công bố,332350,Tiêu chuẩn Nền Intel Evo,SD
"['1 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",Camera IR 5 MP,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']","['Hi-Res Audio', 'DTS Audio']",Hãng không công bố,332352,"['Tiêu chuẩn Nền Intel Evo', 'Bản lề mở 180 độ']",Micro SD
"['2 x USB 3.2 Gen 1', 'Jack tai nghe 3.5 mm', '2 x USB Type-C (hỗ trợ DisplayPort)', 'LAN (RJ45)', 'HDMI 2.1']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",HD webcam,Đơn sắc - Màu trắng,,Realtek ALC3204,Hãng không công bố,341565,,
"['3 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', 'LAN (RJ45)', '2 x Thunderbolt 5 (hỗ trợ DisplayPort và Power Delivery 3.1)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đèn chuyển màu RGB - Per-Key,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)']","['Sound by Dynaudio', 'Hi-Res Audio', 'Nahimic Audio']","['Vapor Chamber Cooler', '2 quạt']",335010,"['MUX Switch', 'Bản lề mở 180 độ']",SD
"['2 x USB 3.2 Gen 1', 'Jack tai nghe 3.5 mm', 'HDMI', '1 x USB Type-C 3.2 (hỗ trợ DisplayPort)', 'LAN (RJ45)', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",HD webcam,Có,,Realtek Audio,2 quạt,341567,,
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', 'LAN (RJ45)', '2 x Thunderbolt 5 (hỗ trợ DisplayPort và Power Delivery 3.1)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đèn chuyển màu RGB - Per-Key,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)']","['Sound by Dynaudio', 'Hi-Res Audio', 'Nahimic 3']",Hãng không công bố,335112,MUX Switch,SD
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'LAN (RJ45)', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đèn chuyển màu RGB - Per-Key,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']","['Hi-Res Audio', 'Nahimic 3']","['Cooler Boost', 'Tản nhiệt buồng hơi', '2 quạt']",335113,"['MUX Switch', 'Bản lề mở 180 độ']",SD
"['1 x USB 3.2 Gen 1', '1 x USB 2.0', 'Jack tai nghe 3.5 mm', 'HDMI', '1 x USB 3.2 Gen 1 Type-C']","['Bluetooth 5.0', 'Wi-Fi 6 (802.11ax)']",HD webcam,Đơn sắc - Màu trắng,,Realtek High Definition Audio,Hãng không công bố,342756,,SD
"['Jack tai nghe 3.5 mm', 'MagSafe 3', '2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['3 microphones', '4 Loa', 'Dolby Atmos']",Hãng không công bố,342024,,
"['Jack tai nghe 3.5 mm', '2 x Thunderbolt 3 (USB-C)']","['Bluetooth 5.0', 'Wi-Fi 6 (802.11ax)']",720p FaceTime Camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['3 microphones', 'Headphones', 'Loa kép (2 kênh)']",Hãng không công bố,231244,,
"['Jack tai nghe 3.5 mm', '3 x USB 3.2 Gen 1', 'HDMI', '1 x Microphone jack', 'LAN (RJ45)', '1 x USB-C 3.2 Gen 1 (hỗ trợ DisplayPort)']","['Wi-Fi 6E AX211', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu xanh,TPM 2.0,"['Hi-Res Audio', '2 x 2W Speaker', 'DTS Audio']",Hãng không công bố,342942,,
"['1 x USB 3.2 Gen 1', '1 x USB 2.0', 'Jack tai nghe 3.5 mm', '1 x USB 3.2 Gen 1 Type-C', 'HDMI 1.4']","['Wi-Fi 5(802.11ac)', 'Bluetooth 5.3']",HD webcam,Không có đèn,,Realtek ALC3204,Hãng không công bố,342755,,SD
"['Jack tai nghe 3.5 mm', '3x Type-A USB 3.2 Gen 1', 'LAN (RJ45)', '1 x USB-C 3.2 Gen 2 (hỗ trợ USB Power Delivery 65-100W và DisplayPort 1.4)', 'HDMI 2.1']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",5.0 MP with E-shutter,Đèn chuyển màu RGB - 24 vùng,Công tắc khoá camera,2 x 2W Speaker,Hãng không công bố,342507,Bản lề mở 180 độ,
"['Jack tai nghe 3.5 mm', '2 x USB Type-A', '1 x USB-C (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)', 'HDMI 1.4']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,Công tắc khoá camera,Dual speakers,Hãng không công bố,341621,,
"['Jack tai nghe 3.5 mm', '2 x USB-A (USB 5Gbps/USB 3.2 Gen 1)', '1 x USB-A (USB 5Gbps/USB 3.2 Gen 1), Always On', '1 x USB Type C 3.2 Gen 2 (Hỗ trợ Power Delivery và DisplayPort™ 2.1)', '1 x USB Type C 3.2 Gen 2 (Hỗ trợ DisplayPort™ 1.4)', 'LAN (RJ45)', 'HDMI 2.1']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",5.0 MP with E-shutter,Đèn chuyển màu RGB - 24 vùng,Công tắc khoá camera,"['Realtek ALC3287', 'Nahimic Audio', 'High Definition (HD) Audio']",Hãng không công bố,342519,Bản lề mở 180 độ,
"['Jack tai nghe 3.5 mm', '3 x USB 3.2 Gen 1', 'HDMI', 'LAN (RJ45)', '1 x USB-C 3.2 Gen 2 (hỗ trợ DisplayPort, Power delivery)']","['Wi-Fi 6E AX211', 'Bluetooth 5.3']",HD webcam,Đơn sắc - Màu trắng,"['TPM 2.0', 'Công tắc khoá camera']",Hi-Res Audio,Hãng không công bố,342941,Bản lề mở 180 độ,Micro SD
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', '1 x USB Type-C (chỉ hỗ trợ Power Delivery)']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.1']",HD webcam,Không có đèn,,Stereo speakers,Hãng không công bố,328599,Bản lề mở 180 độ,Micro SD
"['Jack tai nghe 3.5 mm', 'MagSafe 3', 'HDMI', '3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['Hệ thống âm thanh 6 loa', 'Spatial Audio', '3 microphones', 'Dolby Atmos']",Hãng không công bố,332451,,SD
"['Jack tai nghe 3.5 mm', 'MagSafe 3', '2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['3 microphones', '4 Loa', 'Dolby Atmos']",Hãng không công bố,335366,,
"['Jack tai nghe 3.5 mm', '2 x USB Type-A', '1 x USB-C (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)', 'HDMI 1.4']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",HD webcam,Không có đèn,Công tắc khoá camera,Dual speakers,Hãng không công bố,341622,,
"['1 x USB 2.0', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'USB Type-C']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5']",HD webcam,Không có đèn,"['Công tắc khoá camera', 'Bảo mật vân tay']",SonicMaster audio,Hãng không công bố,305009,"['Lớp phủ ASUS Antimicrobial Guard', 'Bản lề mở 180 độ']",
"['2 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",Camera IR 5 MP,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']",Realtek High Definition Audio,Hãng không công bố,331523,"['Màn hình gập 360 độ', 'Tiêu chuẩn Nền Intel Evo']",Smart Card
"['Jack tai nghe 3.5 mm', 'MagSafe 3', 'HDMI', '3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['Hệ thống âm thanh 6 loa', 'Spatial Audio', '3 microphones', 'Dolby Atmos']",Hãng không công bố,331567,,SD
"['Jack tai nghe 3.5 mm', 'MagSafe 3', '2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['3 microphones', '4 Loa', 'Dolby Atmos']",Hãng không công bố,335369,,
"['1 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",Camera IR 5 MP,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']","['Poly Studio', 'Realtek High Definition Audio']",Hãng không công bố,339558,,
"['Jack tai nghe 3.5 mm', 'LAN (RJ45)', 'HDMI 2.1', '3 x USB A', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",HD webcam,Đèn chuyển màu RGB - 4 vùng,,"['Hi-Res Audio', 'DTS Audio']",Cooler Boost 5,341613,,
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', '2 x USB Type-C']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.1']",HD webcam,Không có đèn,,Stereo speakers,Hãng không công bố,328598,Bản lề mở 180 độ,Micro SD
"['2 x USB 3.2', 'HDMI', '1 x Headphone/microphone combo', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",Camera IR 5 MP,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)', 'Bảo mật vân tay']","['Poly Studio', 'Realtek High Definition Audio']",Hãng không công bố,331522,"['Màn hình gập 360 độ', 'Tiêu chuẩn Nền Intel Evo']",Smart Card
"['Jack tai nghe 3.5 mm', 'MagSafe 3', 'HDMI', '3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']",1080p FaceTime HD camera,Đơn sắc - Màu trắng,Bảo mật vân tay,"['Hệ thống âm thanh 6 loa', 'Spatial Audio', '3 microphones', 'Dolby Atmos']",Hãng không công bố,332448,,SD
"['2 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ DisplayPort)', '1 x Thunderbolt 4 (hỗ trợ display/power delivery)', '1 x Headphone/microphone combo', 'LAN (RJ45)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",HD webcam,Đèn chuyển màu RGB - 3 vùng,,DTS:X ULTRA,Hãng không công bố,334694,,Micro SD
"['1 x USB 3.2', '1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery)', '1 x Headphone/microphone combo', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.3']",Camera IR 5 MP,Đơn sắc - Màu trắng,"['Công tắc khoá camera', 'Nhận diện khuôn mặt (FaceID)']",Poly Studio,Hãng không công bố,337040,,
"['2 x USB 3.2', 'HDMI', '1 x USB Type-C (hỗ trợ DisplayPort)', '1 x Headphone/microphone combo', 'LAN (RJ45)', '1 x USB Type-C (chỉ hỗ trợ Power Delivery)']","['Bluetooth 5.2', 'Wi-Fi 6E (802.11ax)']",HD webcam,Đèn chuyển màu RGB - 1 vùng,,Dolby Atmos,Hãng không công bố,337844,,Micro SD
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', '1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery)', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,Nhận diện khuôn mặt (FaceID),"['Công nghệ Smart AMP', 'Dolby Atmos']",Hãng không công bố,339235,Độ bền chuẩn quân đội MIL STD 810H,
"['Jack tai nghe 3.5 mm', '1 x USB 3.2', 'HDMI', '2 x USB Type-C with USB 4.0 (hỗ trợ DisplayPort, Power Delivery)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Đơn sắc - Màu trắng,Nhận diện khuôn mặt (FaceID),Công nghệ Smart AMP,Hãng không công bố,339236,,SD
"['1 x Headphone/microphone combo', '1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)', '2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']",Camera IR 9 MP,Đơn sắc,"['Nhận diện khuôn mặt (FaceID)', 'Công tắc khoá camera', 'Bảo mật vân tay']","['Poly Studio', 'Realtek High Definition Audio']",Hãng không công bố,341269,"['Màn hình gập 360 độ', 'Tiêu chuẩn Nền Intel Evo']",
"['Jack tai nghe 3.5 mm', '2 x Thunderbolt 4 (hỗ trợ Power Delivery 3.0 và DisplayPort 2.1)', '1 x USB 3.2 Gen 1 (Always on)', 'HDMI 2.1']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Camera 5.0 MP', 'Camera IR']",Đơn sắc - Màu trắng,"['Nhận diện khuôn mặt (FaceID)', 'Công tắc khoá camera']","['2 x loa woofers + 2 x loa tweeters', 'Công nghệ Smart AMP', 'Dolby Atmos']",Hãng không công bố,342505,Tiêu chuẩn Nền Intel Evo,Micro SD
"['Thunderbolt 4', 'Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'LAN (RJ45)', 'USB Type-C']","['Bluetooth 5.2', 'Wi-Fi 6 (802.11ax)']",HD webcam,Đơn sắc - Màu trắng,,"['Hi-Res certification', 'Dolby Atmos']",Quạt Arc Flow 84 cánh,284343,"['MUX Switch', 'NVIDIA Optimus']",
"['2 x USB Type-A', 'HDMI', '1 x Thunderbolt 4 with USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 2.1)', '1 x Headphone/microphone combo', '1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)']","['Wi-Fi 6E (802.11ax)', 'Bluetooth 5.3']","['Full HD Webcam', 'Camera IR']",Đèn chuyển màu RGB - 4 vùng,Nhận diện khuôn mặt (FaceID),"['HP Audio Boost', 'DTS:X ULTRA']",Hãng không công bố,332274,,
"['Jack tai nghe 3.5 mm', '2 x USB 3.2', 'HDMI', 'LAN (RJ45)', '2 x Thunderbolt 5 (hỗ trợ DisplayPort và Power Delivery 3.1)']",Wi-Fi 6E (802.11ax),HD webcam,Đèn chuyển màu RGB - 24 vùng,Công tắc khoá camera,Hi-Res Audio,"['2 quạt', 'Cooler Boost 5']",335015,MUX Switch,SD
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', 'LAN (RJ45)', '2 x USB Type-C (hỗ trợ Thunderbolt 5, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Có,Nhận diện khuôn mặt (FaceID),"['Hi-Res Audio', 'Acer Purified Voice', 'Acer TrueHarmony', 'DTS:X ULTRA']",Quạt kim loại 3D AeroBlade,335963,,SD
"['Jack tai nghe 3.5 mm', '3 x USB 3.2', 'HDMI', 'LAN (RJ45)', '2 x USB Type-C (hỗ trợ Thunderbolt 5, DisplayPort)']","['Wi-Fi 7 (802.11be)', 'Bluetooth 5.4']","['Full HD Webcam', 'Camera IR']",Có,Nhận diện khuôn mặt (FaceID),"['Hi-Res Audio', 'Acer Purified Voice', 'Acer TrueHarmony', 'DTS:X ULTRA']",Quạt kim loại 3D AeroBlade,335964,,SD
